#{"t_start": 1776489777.5702183, "env_id": "None"}
r,l,t
-137.0,22,224.356012
-1183.0,209,224.705549
37.0,127,225.416625
-424.0,110,225.767444
-117.0,61,227.534283
-56.0,43,228.963869
-65.0,37,229.31391
51.0,56,232.512647
-163.0,23,232.512913
-49.0,38,232.51304
-77.0,61,232.862534
-42.0,36,234.240554
275.0,99,234.958885
-258.0,72,235.31112
-226.0,81,235.656621
-651.0,225,236.342148
-16.0,43,237.425316
-127.0,73,238.799142
-57.0,56,239.142748
-258.0,67,240.552852
-64.0,23,240.553114
-71.0,27,241.965654
-38.0,36,241.965949
-126.0,43,244.082151
-132.0,56,245.151052
-102.0,33,245.835986
-140.0,40,246.563903
-101.0,72,247.614482
-18.0,58,247.9512
-75.0,22,248.298338
-340.0,145,249.004414
15.0,41,249.333359
-283.0,114,251.043353
-131.0,27,251.399041
70.0,46,253.489173
-32.0,51,254.191263
2.0,18,254.560292
-109.0,48,255.572432
-144.0,47,256.936681
-15.0,38,257.294292
53.0,156,259.420553
-139.0,58,259.420775
10.0,73,260.827818
-135.0,28,261.178801
-209.0,49,262.195658
-54.0,23,262.541653
-241.0,106,262.886578
-208.0,79,263.246557
-65.0,46,263.604736
-175.0,54,264.673145
-153.0,49,265.027656
-211.0,55,265.736022
-523.0,165,267.881558
-46.0,36,268.239699
144.0,43,268.61728
-161.0,146,270.030622
-13.0,43,272.235973
146.0,44,275.053607
209.0,77,276.426193
-205.0,41,277.109992
38.0,48,277.813296
-181.0,59,278.175757
20.0,42,278.519628
-125.0,37,278.876103
-47.0,47,278.876353
-66.0,44,280.579274
-93.0,112,281.253324
-1643.0,638,281.950094
-235.0,198,282.295253
-138.0,52,282.956659
112.0,63,283.298565
-48.0,19,283.656777
-189.0,63,285.039865
-3.0,59,289.197974
219.0,165,290.58207
-101.0,25,292.294989
19.0,50,292.295264
-210.0,74,294.078624
-296.0,75,294.078885
-23.0,45,294.078976
-52.0,32,294.423142
-1.0,48,294.791125
14.0,50,295.143187
57.0,53,297.210004
-1377.0,213,299.255536
-62.0,60,299.601619
-104.0,105,299.939774
0.0,148,300.649064
-135.0,24,300.649333
-180.0,63,303.06695
-189.0,66,303.422108
248.0,79,303.801577
-168.0,42,303.801845
-588.0,149,306.256515
-44.0,23,308.533773
-145.0,42,308.534025
-116.0,43,309.013624
570.0,145,309.484772
-18.0,54,310.202846
-84.0,48,310.683553
-27.0,23,310.6838
-3404.0,571,310.929007
-54.0,50,310.929271
-343.0,64,311.417454
-205.0,56,311.935454
-411.0,87,313.211557
22.0,37,314.208575
27.0,54,315.401081
57.0,39,316.36962
33.0,141,317.459327
-241.0,59,317.45959
-78.0,24,317.459674
-142.0,37,317.743399
-152.0,36,318.036274
-309.0,150,318.329509
-184.0,54,318.329926
-166.0,59,319.518681
-82.0,39,322.542746
33.0,47,322.855639
-167.0,56,323.465871
-25.0,33,323.46614
-81.0,22,324.385234
-98.0,24,324.693018
-447.0,226,325.007169
32.0,52,325.007432
41.0,54,325.628752
16.0,35,330.314037
-15.0,20,330.633012
-340.0,70,330.95292
-152.0,45,331.278891
-119.0,54,331.594087
-35.0,44,331.908268
-175.0,51,333.159826
-197.0,55,333.160018
-336.0,121,333.481142
-1313.0,433,335.063534
177.0,56,335.384786
43.0,18,336.33595
-182.0,37,336.650556
107.0,48,337.972192
115.0,49,338.942478
-85.0,55,340.839681
47.0,20,342.762332
-93.0,144,343.38345
-67.0,58,344.00106
-81.0,31,344.91835
-581.0,203,345.851624
-51.0,25,345.851887
-118.0,50,346.78269
29.0,71,347.400031
-174.0,52,347.71526
-509.0,131,348.340541
-182.0,53,348.659451
-3408.0,591,349.591096
-135.0,24,350.227164
-214.0,59,351.782797
-170.0,52,351.783062
-124.0,60,352.094977
-336.0,109,352.400858
-74.0,29,353.927001
-88.0,52,355.207665
-180.0,78,356.127274
-306.0,82,356.127506
-962.0,205,357.055056
-12.0,22,357.055287
147.0,31,357.367408
-282.0,78,357.985696
-630.0,159,358.911962
-85.0,51,359.834347
7.0,76,360.449152
-173.0,50,361.378667
-78.0,52,361.998397
14.0,46,362.918257
-76.0,22,363.86189
-209.0,75,364.177291
-107.0,35,364.863258
-544.0,136,365.197523
-44.0,61,365.823254
-107.0,48,366.75097
-107.0,78,367.705571
-123.0,47,369.910918
-225.0,76,371.178578
-376.0,64,371.813516
-6563.0,977,373.070999
-14.0,57,374.014812
-61.0,45,374.650052
-115.0,43,374.963813
-112.0,61,375.279912
-33.0,59,375.904606
20.0,36,376.217478
113.0,54,376.827857
-92.0,61,377.137138
-178.0,34,377.453927
96.0,48,378.073566
-214.0,47,378.69422
-120.0,42,379.012327
-191.0,174,379.325946
-66.0,54,382.116122
-248.0,102,383.971327
-699.0,233,384.911964
-10.0,20,384.912187
-177.0,48,384.912275
-127.0,68,385.53109
33.0,36,385.832001
-542.0,108,386.13708
-10.0,38,387.668167
-126.0,42,388.290899
-222.0,39,389.544941
-138.0,61,390.176042
-170.0,44,390.799991
-66.0,23,392.012906
-136.0,55,392.013233
-134.0,52,392.952039
-185.0,54,392.952314
-7.0,143,392.952415
-37.0,49,393.261567
-201.0,65,394.184517
-112.0,104,394.497899
-42.0,50,394.498124
-201.0,43,395.424934
12.0,32,395.425155
-71.0,26,400.334655
-350.0,88,400.708369
-165.0,54,401.04766
-96.0,45,402.795953
-144.0,35,404.517672
-224.0,60,405.231817
37.0,40,405.232079
-54.0,31,405.944577
-95.0,39,406.27082
-150.0,35,407.270679
-143.0,40,407.61885
-75.0,21,407.61915
-40.0,55,408.310159
-77.0,45,409.682987
-117.0,77,413.056176
143.0,74,414.068496
-111.0,23,415.4144
83.0,177,415.755306
-141.0,34,416.087563
-77.0,48,417.433038
-76.0,35,418.147191
257.0,101,418.147447
60.0,44,420.191856
152.0,44,420.192162
-116.0,43,420.531164
-142.0,87,422.254386
-244.0,57,422.254677
-199.0,49,424.000379
-154.0,46,424.000643
-45.0,45,425.027299
-89.0,31,426.078031
-648.0,224,429.56645
-125.0,73,432.042961
-17.0,23,433.285852
-41.0,30,433.595724
-172.0,57,434.831658
65.0,49,436.052135
-121.0,57,436.665904
-76.0,39,437.279484
3.0,72,437.587034
-3149.0,441,437.897673
-54.0,52,438.819745
67.0,55,439.729128
-117.0,61,440.032946
87.0,63,440.34034
-506.0,170,441.56591
-307.0,195,442.483004
-129.0,33,443.387222
9.0,38,443.697119
-399.0,81,444.002836
119.0,32,444.620038
-396.0,240,444.927795
-60.0,35,447.994007
145.0,114,449.540658
-104.0,22,450.177215
-44.0,186,451.122929
-110.0,40,452.344234
-244.0,183,452.344537
-49.0,27,452.958874
-45.0,43,452.959128
-158.0,57,454.185361
-321.0,69,454.791727
-54.0,50,456.919871
-76.0,46,458.143074
-55.0,27,458.449465
-682.0,201,459.365178
103.0,97,459.365432
-206.0,52,459.690397
-58.0,46,462.174949
37.0,84,463.422353
-22.0,35,463.750521
-17.0,90,463.750799
12.0,18,464.065604
-756.0,251,465.319511
41.0,38,466.572217
-32.0,45,466.884517
192.0,59,467.818201
289.0,144,468.754226
-2851.0,588,468.754522
-73.0,33,469.991214
-3007.0,595,469.991477
-69.0,38,469.991589
-27.0,20,469.991671
-177.0,65,471.196064
-161.0,174,472.106049
-345.0,111,473.032941
-172.0,92,473.343474
-106.0,49,474.584154
-47.0,49,474.584435
-77.0,36,474.584559
-157.0,67,474.895924
-167.0,37,475.513121
-115.0,46,476.433091
-84.0,34,477.053123
-103.0,38,478.591905
-169.0,45,479.205925
-147.0,38,480.424201
-221.0,56,481.03929
-116.0,23,482.565093
-29.0,41,482.565391
-96.0,44,483.478283
-389.0,109,485.922093
-695.0,158,486.539011
-134.0,42,487.464327
-88.0,38,488.706974
-7.0,40,488.707423
533.0,118,488.707926
-44.0,21,489.035463
-13.0,23,489.651882
165.0,154,489.964968
-92.0,55,491.497133
-36.0,43,491.811902
-36.0,63,492.435764
-171.0,59,492.7589
-156.0,77,493.689971
-143.0,44,494.002033
-68.0,43,494.313853
-66.0,36,494.628345
21.0,76,494.628534
-89.0,23,496.189018
30.0,76,496.810606
-105.0,28,498.401476
32.0,36,498.721283
-206.0,80,499.662966
-139.0,38,500.616819
-278.0,110,501.862296
-25.0,43,502.183493
-201.0,75,502.496555
-75.0,22,503.127339
-125.0,56,503.440427
-384.0,208,504.685807
-21.0,33,504.686071
-229.0,45,507.775097
-48.0,48,509.028006
-251.0,132,509.652551
-62.0,59,510.268148
-99.0,26,512.781035
20.0,43,513.105291
-195.0,78,513.105561
-28.0,61,513.747926
-111.0,43,514.062853
-107.0,38,515.332845
-15.0,39,516.893729
-21.0,61,517.577659
-101.0,22,520.299412
-18.0,59,520.644934
-8.0,37,520.979035
-216.0,92,521.660243
-288.0,59,522.009535
-43.0,63,522.360923
74.0,42,524.049524
-19.0,34,525.40122
-85.0,31,525.753037
-127.0,27,526.792724
-23.0,18,528.162527
-194.0,64,528.878893
-188.0,51,530.262589
-140.0,40,530.619593
-122.0,234,530.976147
270.0,101,531.687219
-2284.0,411,532.042896
-210.0,117,532.728451
497.0,134,533.425522
-47.0,24,536.450617
-250.0,69,537.117306
-83.0,45,537.783492
57.0,55,539.473309
-241.0,50,541.175818
-68.0,36,542.549652
-383.0,64,542.889009
-80.0,66,544.26263
-6.0,24,544.610615
-135.0,57,545.273214
-172.0,38,545.616838
-44.0,63,546.989618
78.0,29,546.989881
-472.0,136,547.633532
-46.0,55,547.633802
-118.0,51,547.954592
-756.0,169,548.269871
-491.0,176,549.231177
-68.0,36,551.44643
-215.0,125,551.44673
-110.0,22,551.76794
-101.0,30,552.714322
161.0,64,553.02645
-2.0,41,555.839175
-54.0,60,557.424401
-57.0,31,557.740655
-40.0,20,558.062053
-77.0,44,559.339592
-501.0,98,559.339873
-140.0,39,559.971339
-100.0,59,560.293836
-516.0,91,560.937243
-41.0,36,564.158599
-155.0,60,566.078194
-739.0,293,566.408537
-105.0,26,566.408786
-165.0,66,566.732877
