#{"t_start": 1776489777.5702183, "env_id": "None"}
r,l,t
777.0,56,9847.259696
252.0,30,9847.259814
1072.0,169,9848.295084
164.0,26,9850.035652
255.0,33,9850.718066
96.0,21,9850.718601
1087.0,249,9851.064181
668.0,90,9852.437826
211.0,30,9852.438185
377.0,52,9853.477995
716.0,134,9853.4782
98.0,25,9853.478303
46.0,18,9853.47843
80.0,19,9853.816876
252.0,31,9853.817091
204.0,27,9854.491686
939.0,255,9854.831306
131.0,29,9855.175993
1400.0,125,9857.539773
213.0,31,9857.877895
299.0,26,9859.567273
161.0,29,9859.910892
1354.0,142,9860.253694
76.0,19,9860.25397
281.0,43,9863.001538
343.0,36,9863.001932
194.0,29,9863.345454
1241.0,112,9863.345765
203.0,27,9863.692405
276.0,35,9864.384518
183.0,32,9864.384761
254.0,39,9865.741768
97.0,20,9866.43456
697.0,85,9866.775599
446.0,63,9867.124141
200.0,35,9867.124432
1274.0,127,9868.142576
192.0,45,9868.832433
160.0,27,9869.167984
215.0,33,9869.168272
325.0,47,9869.85374
705.0,78,9870.54073
152.0,24,9871.220404
233.0,32,9871.22068
165.0,29,9873.269973
1274.0,203,9874.651736
213.0,30,9874.652049
761.0,171,9874.993812
176.0,26,9875.344623
101.0,27,9876.366083
338.0,37,9876.366296
105.0,18,9877.407592
400.0,77,9877.407876
181.0,35,9877.774713
268.0,35,9878.847999
215.0,30,9879.55024
609.0,77,9879.920866
278.0,49,9879.921145
207.0,32,9880.283592
733.0,114,9880.668232
274.0,33,9881.402821
223.0,41,9882.450265
164.0,29,9883.568138
107.0,19,9884.279664
376.0,42,9885.339518
346.0,89,9885.719727
174.0,26,9885.720084
150.0,31,9885.720311
163.0,27,9886.07706
522.0,123,9887.125084
433.0,58,9887.479217
161.0,29,9890.722718
46.0,19,9891.074435
537.0,45,9891.434073
997.0,153,9892.187211
102.0,25,9892.574931
131.0,20,9892.575248
293.0,42,9892.917448
2256.0,303,9894.28651
254.0,34,9894.66598
1697.0,106,9894.666307
385.0,43,9895.036971
160.0,27,9895.789188
366.0,58,9895.789468
245.0,29,9896.166105
206.0,49,9897.571692
106.0,24,9899.756989
724.0,81,9900.126287
109.0,22,9900.506936
99.0,28,9900.869278
557.0,96,9903.067583
1371.0,113,9903.413
230.0,49,9903.413289
247.0,31,9906.248153
110.0,19,9906.636435
238.0,31,9906.990149
155.0,21,9908.074446
688.0,79,9909.102437
232.0,38,9909.446279
220.0,44,9910.482733
345.0,88,9910.483054
441.0,41,9910.823913
132.0,29,9911.172487
254.0,34,9912.200325
736.0,75,9913.924795
763.0,95,9915.309314
66.0,26,9915.668711
608.0,65,9916.020965
184.0,28,9916.021303
242.0,38,9916.364544
761.0,104,9917.056602
985.0,162,9917.407195
194.0,28,9917.769766
361.0,42,9918.106536
440.0,98,9920.596267
107.0,17,9921.655512
158.0,31,9921.655832
777.0,99,9922.677792
448.0,47,9923.402055
767.0,91,9924.458784
734.0,78,9925.157559
305.0,42,9925.860685
357.0,41,9926.555113
212.0,31,9926.901817
217.0,31,9926.902088
277.0,32,9927.583831
76.0,18,9927.939661
324.0,39,9928.975285
744.0,104,9929.3141
254.0,37,9931.14436
360.0,62,9932.214756
386.0,65,9932.2151
214.0,30,9932.215255
983.0,107,9932.580677
1346.0,193,9932.580975
161.0,28,9933.27242
97.0,15,9933.272709
838.0,111,9933.611191
358.0,51,9934.977313
156.0,24,9934.977623
1286.0,125,9935.644373
126.0,20,9936.320465
212.0,41,9937.012839
1051.0,98,9937.715932
161.0,32,9938.080898
256.0,36,9938.421443
2697.0,304,9939.118264
111.0,19,9939.80856
323.0,37,9939.808842
101.0,31,9939.808973
250.0,36,9940.151571
1044.0,186,9940.494719
702.0,178,9940.495009
130.0,21,9942.923568
205.0,28,9943.271991
182.0,24,9943.272267
334.0,59,9945.69593
105.0,17,9945.696239
365.0,43,9946.052836
290.0,41,9946.400501
192.0,41,9949.14273
342.0,47,9949.484485
461.0,52,9950.203511
124.0,21,9950.203793
182.0,30,9950.20391
161.0,32,9950.20401
161.0,30,9950.204084
181.0,23,9951.228389
216.0,42,9951.577065
78.0,18,9951.950359
357.0,45,9953.699272
418.0,46,9954.413923
551.0,119,9955.46496
624.0,56,9955.810012
187.0,30,9956.881763
101.0,18,9958.248049
161.0,28,9959.287263
270.0,27,9959.62866
165.0,28,9959.997502
364.0,40,9959.997715
689.0,82,9961.068383
884.0,106,9961.428284
176.0,29,9961.428563
975.0,152,9962.131146
117.0,22,9963.188397
371.0,36,9964.208486
237.0,30,9964.208737
76.0,18,9964.558487
625.0,69,9964.558868
287.0,45,9965.937464
124.0,22,9967.336821
323.0,38,9967.689438
448.0,50,9967.689719
300.0,104,9968.384763
101.0,24,9968.385045
1166.0,145,9968.385185
387.0,56,9968.742043
122.0,19,9968.742325
214.0,34,9968.742438
164.0,30,9969.833936
723.0,142,9970.193029
107.0,17,9970.566233
1446.0,160,9973.356683
606.0,117,9973.356966
349.0,40,9974.056738
184.0,31,9975.123483
125.0,21,9975.841628
621.0,58,9976.194513
178.0,30,9976.541783
372.0,36,9976.903189
236.0,27,9976.903464
71.0,19,9977.251616
165.0,30,9978.288408
638.0,80,9978.288701
99.0,30,9978.288848
735.0,108,9978.288959
165.0,30,9978.986603
215.0,29,9978.986953
161.0,29,9980.047858
765.0,59,9982.092387
204.0,25,9982.789628
127.0,21,9983.495034
107.0,19,9983.840106
1190.0,110,9984.201946
183.0,31,9984.202184
188.0,30,9985.541891
1300.0,140,9986.567596
211.0,31,9987.250219
103.0,27,9987.584189
655.0,78,9988.620413
258.0,37,9988.620707
101.0,17,9989.666425
228.0,33,9989.666709
131.0,29,9990.008351
229.0,33,9990.364776
244.0,40,9990.716842
1612.0,230,9990.717063
1055.0,149,9992.121191
201.0,27,9992.796764
289.0,41,9993.142501
1072.0,147,9994.519394
555.0,56,9996.226451
148.0,24,9996.948166
372.0,55,9997.296014
306.0,42,9997.296311
99.0,26,9997.63798
134.0,30,9997.986416
662.0,86,9998.666872
385.0,40,9999.334953
165.0,28,9999.335247
71.0,18,9999.335383
128.0,20,9999.664933
171.0,28,10000.010565
257.0,33,10001.343839
269.0,51,10001.68836
615.0,114,10002.710728
277.0,36,10003.052065
380.0,47,10003.387373
1689.0,125,10004.421529
203.0,27,10005.448634
222.0,45,10006.107377
194.0,27,10006.805636
187.0,44,10007.146329
203.0,25,10008.192157
707.0,2005,10008.532869
224.0,35,10008.869594
865.0,104,10009.235729
231.0,29,10009.235964
284.0,35,10009.236082
655.0,75,10009.939197
134.0,31,10009.939425
161.0,27,10010.656804
220.0,34,10011.69453
363.0,43,10012.76805
320.0,42,10013.855361
123.0,21,10014.206097
222.0,27,10064.629291
237.0,20,10065.245847
121.0,22,10065.57228
294.0,38,10066.238662
283.0,41,10066.927023
161.0,24,10066.927274
289.0,45,10066.927413
146.0,25,10067.588875
698.0,84,10068.256739
162.0,26,10068.587758
217.0,31,10069.595572
284.0,32,10069.930952
223.0,41,10070.943515
100.0,23,10071.622391
257.0,34,10071.974832
123.0,22,10071.975115
133.0,19,10071.975242
161.0,29,10072.324662
194.0,32,10072.324957
1120.0,110,10074.015393
111.0,19,10074.707999
446.0,57,10075.389627
177.0,25,10075.389958
210.0,29,10076.065656
299.0,41,10077.394024
126.0,22,10079.416859
204.0,29,10079.753645
174.0,25,10080.448436
101.0,17,10080.448699
240.0,32,10080.448786
132.0,26,10080.448855
131.0,26,10081.108039
276.0,32,10081.787554
1335.0,197,10082.126244
134.0,31,10082.450752
258.0,33,10083.42944
144.0,29,10085.052139
211.0,29,10085.705217
101.0,17,10086.039839
231.0,29,10087.072256
520.0,61,10087.411595
1630.0,100,10088.096025
155.0,21,10088.096255
299.0,26,10088.096394
174.0,27,10088.767879
605.0,70,10090.450632
163.0,31,10090.777662
160.0,28,10091.793941
76.0,19,10092.485172
133.0,28,10092.835847
873.0,100,10093.520106
59.0,20,10093.868057
129.0,20,10094.903841
355.0,46,10095.906765
218.0,33,10096.242367
549.0,86,10096.59144
940.0,70,10097.582809
236.0,37,10098.248868
132.0,22,10098.249187
387.0,50,10098.603052
73.0,18,10098.603367
868.0,89,10098.603478
275.0,34,10098.93997
750.0,56,10099.277136
254.0,32,10099.62251
259.0,35,10099.978214
135.0,28,10102.286682
1285.0,174,10103.31871
205.0,26,10103.65076
1259.0,251,10103.982352
105.0,17,10104.318091
1831.0,252,10104.653193
243.0,29,10105.653053
311.0,42,10105.984565
708.0,158,10105.984874
1097.0,170,10105.984984
1070.0,124,10106.974216
131.0,22,10107.298523
1725.0,223,10107.628435
174.0,34,10107.628745
412.0,51,10107.62886
565.0,97,10107.9598
203.0,26,10107.960044
313.0,42,10107.960169
161.0,29,10108.289482
182.0,31,10108.616807
192.0,32,10108.948312
71.0,17,10109.92893
131.0,19,10109.929391
245.0,35,10110.58838
254.0,34,10110.918914
161.0,27,10111.254342
553.0,252,10113.548779
149.0,23,10115.220957
202.0,58,10115.906819
218.0,31,10115.907108
102.0,26,10115.907237
277.0,32,10116.584992
127.0,20,10116.585256
172.0,27,10116.926476
165.0,27,10117.266991
163.0,42,10118.652982
407.0,61,10118.999685
760.0,76,10118.999984
194.0,31,10119.337962
362.0,41,10121.798283
231.0,32,10122.137035
213.0,36,10122.137322
297.0,40,10122.137445
223.0,43,10122.489771
338.0,37,10123.544444
1113.0,108,10124.595861
170.0,27,10125.955357
131.0,29,10126.638826
131.0,22,10126.99795
164.0,29,10127.361433
169.0,26,10128.076586
398.0,52,10128.414938
81.0,19,10128.764482
365.0,40,10129.102638
1866.0,243,10129.431057
533.0,68,10130.108929
132.0,28,10131.799493
383.0,46,10131.799803
202.0,29,10132.137141
206.0,84,10132.498751
154.0,33,10133.191176
439.0,51,10133.518008
124.0,23,10133.845472
107.0,17,10134.534421
132.0,23,10134.870969
161.0,28,10136.18016
1630.0,115,10136.533471
307.0,38,10136.53378
179.0,25,10137.59289
294.0,61,10140.064551
277.0,32,10140.430547
562.0,97,10140.821401
878.0,72,10140.821671
107.0,19,10141.205522
124.0,21,10141.205833
797.0,71,10141.543575
336.0,58,10142.596017
172.0,31,10142.939891
388.0,45,10142.940213
278.0,33,10143.28021
610.0,109,10143.280528
81.0,25,10143.6145
329.0,36,10145.998252
160.0,28,10145.998529
174.0,30,10147.080387
350.0,40,10147.080724
131.0,22,10148.4181
284.0,33,10149.089594
180.0,25,10149.429202
125.0,19,10149.769722
303.0,26,10150.471837
975.0,128,10151.522807
161.0,27,10152.547365
165.0,28,10152.547705
195.0,28,10153.231186
1014.0,210,10153.582819
269.0,33,10153.921149
172.0,38,10154.266001
680.0,66,10154.611015
323.0,37,10155.630381
165.0,34,10157.710213
643.0,151,10157.710535
177.0,25,10157.710627
244.0,31,10157.710704
220.0,30,10158.719325
609.0,90,10159.078928
867.0,91,10159.781154
1424.0,165,10159.781428
105.0,18,10160.467497
374.0,59,10160.818225
304.0,40,10160.818538
98.0,24,10161.510748
641.0,92,10161.856723
801.0,61,10162.201857
233.0,52,10163.915732
360.0,42,10163.916058
1080.0,132,10164.256876
199.0,36,10164.919636
191.0,31,10165.263972
235.0,38,10165.598544
111.0,19,10166.970532
213.0,30,10167.989025
197.0,24,10169.021515
275.0,34,10169.373038
256.0,162,10169.373358
195.0,32,10169.716223
455.0,58,10170.394781
194.0,27,10170.741202
205.0,25,10170.741532
1563.0,136,10171.419751
194.0,24,10172.108512
482.0,60,10172.108824
274.0,37,10172.442445
385.0,48,10174.130864
243.0,29,10175.139725
286.0,32,10175.818496
208.0,36,10176.539481
710.0,68,10176.885572
129.0,33,10176.885901
248.0,30,10177.225162
179.0,24,10177.561306
128.0,21,10177.561597
204.0,27,10178.232396
233.0,30,10178.232684
1429.0,122,10178.584083
488.0,53,10178.918884
164.0,30,10179.913094
233.0,34,10182.276756
77.0,17,10182.930752
116.0,18,10184.266124
132.0,31,10184.598799
183.0,24,10185.576846
161.0,30,10185.9141
275.0,40,10185.914387
299.0,26,10186.242543
213.0,33,10186.242823
155.0,21,10186.90026
690.0,160,10187.229202
714.0,96,10188.225089
101.0,17,10188.557531
131.0,35,10188.557849
229.0,40,10189.861573
343.0,38,10190.84082
798.0,151,10191.490244
131.0,19,10192.526089
275.0,31,10192.526399
161.0,28,10193.933364
176.0,25,10193.933684
342.0,29,10193.933831
111.0,19,10194.945109
159.0,28,10195.289314
159.0,29,10196.648735
161.0,27,10197.688299
341.0,36,10198.022278
400.0,58,10198.362922
204.0,34,10198.707057
356.0,41,10200.06521
131.0,22,10200.065566
174.0,30,10201.11375
75.0,19,10201.448677
294.0,39,10201.449013
203.0,28,10202.12684
804.0,154,10202.127091
962.0,75,10203.834361
134.0,30,10204.19281
341.0,30,10204.193139
1001.0,100,10204.536907
1283.0,151,10205.204412
989.0,130,10205.888219
164.0,29,10206.575991
274.0,34,10206.91753
327.0,39,10207.266874
742.0,146,10208.635347
130.0,19,10208.635627
55.0,23,10209.981811
604.0,113,10210.322754
215.0,30,10210.32307
158.0,30,10210.323217
223.0,37,10210.323315
850.0,138,10210.665955
427.0,61,10212.315073
413.0,43,10212.639872
204.0,26,10213.312922
755.0,130,10213.313435
164.0,30,10214.293514
194.0,27,10215.598373
131.0,27,10215.95046
350.0,38,10216.979789
155.0,21,10217.325901
268.0,37,10217.662444
994.0,136,10218.004798
284.0,34,10218.692487
392.0,53,10219.028028
278.0,35,10222.072713
1582.0,151,10222.429992
366.0,39,10223.796257
129.0,22,10224.833907
195.0,28,10225.171803
244.0,38,10225.51369
361.0,50,10225.513993
315.0,47,10226.206191
160.0,31,10226.563196
804.0,74,10226.563493
199.0,24,10227.257489
508.0,111,10227.613967
446.0,42,10227.614271
185.0,32,10227.957443
387.0,44,10229.332247
256.0,33,10230.03522
761.0,93,10230.382221
798.0,67,10231.399398
686.0,89,10231.757709
131.0,22,10232.428309
270.0,44,10233.109042
237.0,49,10234.455052
191.0,29,10235.121228
104.0,29,10236.500758
213.0,31,10236.854861
179.0,22,10237.583919
101.0,17,10237.584252
130.0,19,10237.961156
431.0,47,10238.349618
371.0,38,10238.707381
248.0,31,10238.707637
1859.0,233,10239.064096
257.0,44,10239.064419
160.0,30,10239.800894
194.0,40,10241.206167
232.0,32,10241.555659
420.0,45,10242.261989
161.0,29,10242.624682
1044.0,195,10243.322611
440.0,88,10243.677698
107.0,19,10244.419875
795.0,100,10244.420189
131.0,26,10244.42033
1404.0,125,10246.890647
141.0,27,10247.596826
553.0,57,10247.597113
96.0,27,10249.397084
1138.0,127,10249.759028
201.0,36,10249.759341
257.0,33,10250.133951
206.0,25,10250.134201
71.0,18,10250.839313
372.0,35,10251.205738
131.0,22,10252.271163
164.0,28,10252.627625
670.0,158,10252.98965
779.0,127,10254.492608
426.0,52,10255.215661
306.0,38,10255.919232
203.0,26,10256.984462
76.0,18,10257.341888
116.0,23,10258.042682
666.0,88,10258.743426
628.0,95,10259.081166
132.0,26,10259.448929
722.0,58,10259.449236
155.0,21,10259.812332
204.0,27,10259.812648
161.0,31,10260.51087
248.0,36,10262.673012
107.0,17,10263.409693
219.0,30,10263.409933
380.0,36,10264.105814
674.0,148,10264.1061
839.0,83,10264.106232
125.0,19,10264.849454
131.0,28,10265.212956
697.0,81,10266.622325
121.0,22,10267.741672
723.0,57,10268.101311
101.0,17,10269.457331
127.0,28,10269.457619
565.0,74,10269.805415
120.0,20,10271.861433
284.0,35,10272.219973
502.0,72,10272.574036
194.0,28,10273.316004
350.0,39,10273.316316
194.0,31,10273.656134
126.0,20,10275.015074
133.0,29,10275.366307
107.0,17,10275.366554
268.0,33,10275.73455
238.0,34,10276.115127
194.0,27,10277.170069
360.0,52,10278.925794
101.0,27,10278.926117
117.0,21,10279.287859
2087.0,161,10279.288157
470.0,44,10279.642479
366.0,42,10281.386348
107.0,17,10281.386678
1077.0,122,10282.508606
263.0,30,10283.989537
245.0,30,10283.989846
834.0,90,10285.090155
167.0,29,10285.795695
1258.0,148,10285.796003
224.0,39,10286.141597
194.0,27,10286.822348
793.0,89,10287.517329
865.0,123,10287.517643
109.0,19,10288.217628
604.0,133,10288.93482
296.0,44,10289.31303
353.0,43,10290.345711
223.0,33,10290.690077
403.0,42,10291.039021
251.0,32,10292.811289
70.0,26,10293.181622
876.0,102,10293.181898
716.0,68,10293.858045
72.0,17,10294.199186
245.0,29,10294.199797
106.0,27,10295.227247
204.0,29,10296.310793
265.0,37,10298.081635
430.0,53,10298.435149
1052.0,113,10299.131655
127.0,21,10300.514996
245.0,35,10301.225795
206.0,25,10301.582849
451.0,64,10301.583129
1177.0,162,10301.935632
264.0,47,10302.296543
100.0,26,10302.296814
332.0,40,10304.752105
359.0,49,10304.752394
255.0,29,10305.428309
668.0,43,10305.428579
351.0,47,10305.78026
502.0,135,10306.515141
240.0,36,10306.881226
1366.0,98,10307.234056
349.0,38,10307.589748
284.0,34,10308.326875
274.0,33,10309.753725
1170.0,158,10310.477351
133.0,27,10311.208702
214.0,39,10312.295
316.0,37,10312.295285
203.0,28,10312.295377
128.0,21,10312.975509
50.0,17,10313.31015
77.0,19,10313.651874
847.0,78,10314.337146
545.0,112,10315.395975
364.0,39,10315.396269
727.0,103,10315.749928
132.0,29,10315.750204
210.0,29,10316.093356
381.0,44,10316.09361
286.0,35,10317.128334
244.0,29,10317.894058
308.0,46,10318.607173
205.0,31,10319.292637
130.0,20,10319.990183
99.0,24,10320.718118
1562.0,120,10321.782227
401.0,43,10321.782506
71.0,23,10321.782639
453.0,50,10322.476765
161.0,24,10323.880152
262.0,38,10324.584569
666.0,97,10325.311863
132.0,29,10326.032557
276.0,41,10326.726269
207.0,30,10326.726548
127.0,20,10327.069453
255.0,37,10327.413907
210.0,30,10327.764086
107.0,19,10328.467497
340.0,30,10328.467722
197.0,28,10329.155992
98.0,27,10330.206203
476.0,42,10330.932104
307.0,36,10331.287991
163.0,26,10331.648281
179.0,22,10331.648543
570.0,84,10331.648679
166.0,28,10334.49773
46.0,18,10334.849008
204.0,28,10337.010263
215.0,32,10338.075724
299.0,25,10339.794223
713.0,86,10340.158044
145.0,25,10340.158338
324.0,36,10340.513306
101.0,17,10340.866003
300.0,35,10340.866277
133.0,27,10341.219907
906.0,136,10341.949231
259.0,33,10341.949495
1439.0,292,10342.713262
1251.0,91,10342.713537
354.0,39,10343.092072
486.0,52,10344.568751
102.0,29,10344.925337
70.0,17,10347.107564
106.0,18,10347.448761
189.0,31,10349.251737
202.0,26,10349.25199
1371.0,101,10349.252129
739.0,97,10349.945915
129.0,22,10349.946201
161.0,27,10350.996182
240.0,30,10351.366355
875.0,113,10352.418899
276.0,34,10352.419176
1288.0,199,10353.132168
168.0,28,10353.132411
101.0,18,10353.488202
867.0,107,10353.872329
258.0,40,10354.597286
164.0,28,10354.943636
233.0,33,10356.313733
757.0,69,10356.314051
130.0,22,10357.735744
517.0,92,10358.06819
205.0,26,10358.405956
76.0,19,10360.148632
218.0,31,10360.148905
393.0,39,10361.194406
1045.0,112,10361.529419
272.0,31,10361.8753
206.0,26,10362.211549
662.0,178,10364.293938
238.0,41,10364.294209
323.0,37,10364.294316
311.0,35,10364.66253
185.0,24,10364.662805
847.0,106,10365.016493
101.0,17,10366.077472
192.0,32,10366.077729
238.0,37,10367.437207
299.0,70,10367.437546
206.0,27,10367.778624
354.0,40,10370.270622
226.0,36,10370.270894
243.0,30,10370.625079
802.0,235,10370.625346
322.0,51,10370.967323
162.0,29,10371.975671
107.0,17,10371.975947
339.0,57,10372.326788
776.0,101,10372.668234
97.0,22,10372.668524
176.0,25,10373.365517
284.0,32,10373.365788
97.0,21,10375.099048
371.0,34,10376.425012
145.0,27,10376.7781
73.0,19,10378.497206
816.0,165,10379.90951
165.0,28,10379.909862
182.0,23,10380.26665
716.0,56,10380.609695
210.0,30,10380.951327
103.0,32,10381.299066
73.0,28,10381.652532
269.0,50,10381.652807
131.0,19,10381.652918
202.0,32,10381.652995
269.0,27,10381.986562
357.0,48,10382.671107
838.0,75,10384.029768
286.0,33,10384.761541
284.0,33,10384.761828
348.0,48,10387.473514
1301.0,111,10387.811115
245.0,34,10388.14281
127.0,20,10388.476406
202.0,33,10389.806787
201.0,28,10391.491314
174.0,29,10391.491584
218.0,31,10391.491673
267.0,36,10392.164459
253.0,33,10392.501489
154.0,24,10392.840717
1516.0,117,10394.194385
370.0,40,10395.19385
341.0,42,10396.868461
732.0,97,10397.549451
204.0,27,10397.549731
1111.0,190,10397.893675
305.0,39,10397.893951
623.0,57,10399.939259
269.0,26,10400.283341
222.0,30,10401.61862
131.0,30,10402.644436
272.0,31,10402.64488
323.0,37,10403.991445
284.0,37,10405.33752
610.0,76,10405.68078
166.0,27,10406.034365
1431.0,187,10407.385355
174.0,28,10407.385627
365.0,63,10409.437234
648.0,97,10409.777124
357.0,45,10410.459378
194.0,27,10411.833017
483.0,43,10412.17891
215.0,36,10412.179116
162.0,29,10412.516903
187.0,33,10412.855533
1516.0,134,10413.198615
190.0,24,10413.538135
212.0,29,10413.885064
350.0,42,10414.576591
903.0,151,10415.938272
252.0,30,10416.27283
984.0,219,10417.611082
284.0,33,10418.646116
131.0,22,10419.348901
465.0,69,10421.050599
128.0,20,10421.387606
298.0,28,10421.726613
282.0,37,10422.059198
253.0,35,10422.390521
245.0,30,10422.390791
714.0,97,10422.724786
282.0,31,10423.060596
243.0,31,10423.393921
182.0,29,10423.728963
1263.0,106,10423.729196
2251.0,185,10424.717424
807.0,135,10426.047913
340.0,37,10426.048203
174.0,27,10427.676375
838.0,102,10428.70627
278.0,32,10430.072058
81.0,24,10430.759549
71.0,29,10432.121064
330.0,47,10432.121346
245.0,31,10432.827548
660.0,81,10433.161584
2392.0,309,10433.507985
219.0,29,10433.508251
243.0,30,10433.508347
1135.0,108,10434.518651
237.0,20,10435.544912
546.0,43,10436.191294
101.0,17,10436.526176
296.0,41,10436.862269
293.0,83,10437.859461
276.0,36,10438.185373
254.0,32,10438.506649
363.0,69,10440.79044
93.0,20,10441.136701
185.0,33,10441.136971
165.0,28,10441.468955
532.0,103,10442.140305
70.0,18,10442.492198
451.0,51,10443.176031
244.0,31,10443.847494
121.0,23,10443.847769
349.0,37,10445.196507
331.0,36,10445.529922
261.0,38,10446.229978
204.0,28,10447.885829
527.0,106,10448.886104
45.0,19,10448.886355
322.0,39,10449.89608
161.0,27,10450.590671
664.0,88,10450.590953
334.0,42,10452.269501
868.0,96,10454.309603
214.0,31,10454.30989
219.0,30,10455.35357
278.0,43,10455.697723
287.0,42,10456.367025
67.0,22,10456.367254
236.0,30,10456.367365
1621.0,208,10457.733758
380.0,42,10458.083556
166.0,28,10459.448504
284.0,34,10459.448727
131.0,29,10460.452196
1275.0,227,10460.782935
174.0,26,10461.132362
1630.0,111,10461.132573
238.0,38,10461.811762
841.0,121,10462.170863
101.0,17,10462.171143
492.0,60,10463.51257
268.0,39,10463.846577
182.0,29,10464.197618
99.0,19,10464.531815
959.0,245,10464.53208
640.0,147,10465.511152
182.0,29,10466.176367
187.0,32,10466.176658
340.0,37,10466.84305
1054.0,130,10468.515164
76.0,19,10468.515453
165.0,28,10468.846803
130.0,21,10469.173703
161.0,30,10470.498199
298.0,38,10470.498484
336.0,42,10473.536419
243.0,29,10473.869718
366.0,39,10474.207247
244.0,28,10475.564528
231.0,30,10476.23425
252.0,44,10478.651504
144.0,42,10478.651821
159.0,30,10479.011587
516.0,44,10479.362288
220.0,38,10481.564565
192.0,24,10482.663814
144.0,28,10483.366167
1127.0,129,10485.136536
395.0,45,10486.164779
1270.0,159,10486.165088
248.0,31,10486.518577
149.0,31,10487.229795
397.0,50,10487.916973
78.0,19,10488.290052
1359.0,95,10488.290335
771.0,149,10488.640577
255.0,49,10491.069559
206.0,25,10492.117835
174.0,28,10492.474916
107.0,17,10492.47523
252.0,42,10493.491273
75.0,17,10494.257004
161.0,27,10495.644016
131.0,22,10495.986552
581.0,103,10497.364363
179.0,29,10497.36469
833.0,90,10498.060216
260.0,34,10498.06053
420.0,58,10499.467153
179.0,22,10500.154615
1133.0,129,10500.84249
1243.0,115,10500.842777
107.0,20,10501.19589
216.0,30,10501.54308
1255.0,197,10502.907865
131.0,22,10503.619554
289.0,116,10505.758967
319.0,39,10505.759241
307.0,40,10506.505867
232.0,28,10507.205063
386.0,54,10507.564738
772.0,110,10507.565044
255.0,29,10508.237278
557.0,131,10508.932828
358.0,38,10508.933159
105.0,23,10509.271629
284.0,34,10511.351496
472.0,147,10511.696975
193.0,32,10512.747112
365.0,56,10513.099562
1044.0,210,10513.099806
105.0,19,10513.099916
97.0,15,10514.463949
670.0,84,10514.464168
174.0,26,10514.809111
364.0,43,10515.149343
809.0,106,10516.502792
271.0,27,10516.844819
1489.0,246,10517.524446
176.0,30,10517.524765
267.0,30,10518.530834
1917.0,212,10518.53108
709.0,91,10519.557642
2102.0,432,10520.227029
159.0,28,10520.904989
110.0,19,10520.905272
120.0,21,10521.599851
371.0,70,10522.327049
161.0,46,10523.348066
129.0,20,10523.689475
195.0,33,10524.029392
377.0,47,10525.083637
1483.0,163,10525.083915
206.0,27,10525.752323
454.0,39,10526.422125
101.0,17,10526.762092
148.0,24,10527.798132
180.0,31,10528.133659
316.0,40,10528.487245
377.0,47,10529.170143
824.0,83,10529.512964
543.0,95,10530.205937
104.0,19,10530.206151
260.0,30,10531.261626
163.0,41,10532.652446
181.0,24,10533.355578
76.0,19,10533.357492
297.0,26,10534.712368
1562.0,100,10535.388994
900.0,95,10535.72792
129.0,35,10536.084361
387.0,68,10536.420828
1246.0,101,10538.477049
302.0,26,10539.179689
269.0,33,10540.557627
268.0,42,10540.916597
675.0,76,10541.300965
128.0,19,10541.301244
307.0,37,10541.301371
323.0,39,10541.660592
386.0,105,10541.997343
504.0,58,10542.335387
203.0,28,10543.020981
225.0,35,10543.371539
1010.0,101,10543.742698
320.0,51,10545.425482
99.0,21,10546.452655
219.0,30,10546.452989
213.0,33,10549.916854
391.0,51,10550.270341
271.0,28,10550.953886
243.0,29,10550.954246
1108.0,120,10553.020744
748.0,100,10553.021164
130.0,20,10553.372543
336.0,36,10553.705863
177.0,25,10554.03918
244.0,37,10554.708856
371.0,37,10555.049055
133.0,33,10555.049426
222.0,46,10556.430242
1205.0,225,10556.790419
745.0,75,10559.174267
416.0,51,10559.174566
358.0,47,10559.515101
203.0,28,10559.515635
202.0,27,10560.202055
160.0,30,10560.553085
1475.0,117,10560.553414
327.0,42,10560.898624
791.0,117,10561.935691
202.0,28,10562.956519
174.0,30,10564.006812
443.0,40,10564.674384
819.0,121,10565.012688
279.0,37,10565.668246
855.0,142,10566.332907
256.0,33,10566.333218
133.0,19,10566.667684
278.0,33,10567.669353
246.0,32,10567.669638
311.0,39,10568.349261
1731.0,126,10568.349565
92.0,19,10568.349685
129.0,29,10569.357469
160.0,30,10569.692046
162.0,29,10570.351931
745.0,86,10570.682071
606.0,103,10571.018497
423.0,53,10571.018769
195.0,31,10571.018869
251.0,36,10571.368599
284.0,36,10571.368874
231.0,31,10571.368973
642.0,122,10572.019599
204.0,26,10572.682537
232.0,29,10574.339407
123.0,19,10574.670706
64.0,19,10577.447556
196.0,24,10578.803605
238.0,39,10579.47793
164.0,30,10579.822562
355.0,40,10579.822839
163.0,27,10580.198299
361.0,44,10580.541297
245.0,33,10581.572906
192.0,41,10581.57316
214.0,30,10581.573344
238.0,36,10581.573459
1190.0,116,10582.586372
344.0,44,10583.279348
278.0,38,10584.330278
257.0,37,10584.680892
245.0,30,10584.681196
254.0,41,10585.01937
279.0,38,10585.70573
773.0,70,10586.741522
185.0,24,10587.104254
1429.0,156,10588.812385
111.0,19,10589.154836
191.0,27,10589.495517
135.0,30,10590.189799
222.0,31,10590.528698
132.0,27,10590.866856
127.0,27,10590.867141
362.0,78,10591.539862
797.0,75,10592.221877
